Objects
100
,,Global Angle Mannequin:Mannequin,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
90,0,0.019908,-0.012518,0.723913,126.348587,166.999023,174.431076
91,0,0.019941,-0.012411,0.723954,126.349838,166.996262,174.425262
92,0,0.009169,-0.011075,0.721777,126.293434,167.170914,174.528351
93,0,0.014781,-0.011543,0.722780,126.349297,167.055420,174.488281
94,0,0.015857,-0.012012,0.723184,126.363876,167.085571,174.503036
95,0,0.014749,-0.011789,0.722828,126.359703,167.080109,174.492081
96,0,0.015011,-0.011737,0.722733,126.355293,167.086502,174.493103
97,0,0.015428,-0.011835,0.723093,126.329987,167.060349,174.487595
98,0,0.014668,-0.011764,0.722919,126.341339,167.072235,174.481323
99,0,0.019606,-0.012099,0.723575,126.352745,166.980545,174.414734
100,0,0.014278,-0.011611,0.722744,126.356735,167.061798,174.481247
101,0,0.014340,-0.011595,0.722789,126.343712,167.088974,174.506104
102,0,0.014626,-0.011798,0.722835,126.359764,167.069077,174.473557
103,0,0.014893,-0.011731,0.723009,126.348259,167.076019,174.497375
104,0,0.014438,-0.011542,0.722828,126.343994,167.052063,174.476425
105,0,0.014871,-0.011835,0.723010,126.326889,167.057968,174.492554
106,0,0.014356,-0.011557,0.722800,126.333130,167.063583,174.486694
107,0,0.015013,-0.011615,0.722906,126.336235,167.060913,174.477798
108,0,0.014679,-0.011654,0.722775,126.357216,167.058258,174.499649
109,0,0.014691,-0.011518,0.722850,126.340103,167.061966,174.487869
110,0,0.015095,-0.011638,0.722990,126.356094,167.060226,174.508408
111,0,0.014550,-0.011577,0.722775,126.350967,167.060089,174.490814
112,0,0.015497,-0.011814,0.723157,126.348885,167.069550,174.498993
113,0,0.014757,-0.011632,0.722836,126.347633,167.057205,174.494446
114,0,0.020011,-0.012370,0.723899,126.348228,167.004440,174.419815
115,0,0.019577,-0.012274,0.723700,126.359474,167.006760,174.436432
116,0,0.014755,-0.011689,0.722804,126.346588,167.066803,174.491470
117,0,0.014331,-0.011699,0.722944,126.344856,167.065506,174.492264
118,0,0.014298,-0.011494,0.722672,126.343788,167.060165,174.483246
119,0,0.014857,-0.011651,0.722949,126.355469,167.068893,174.495682
120,0,0.014874,-0.011465,0.722706,126.355484,167.067734,174.486572
121,0,0.019922,-0.012311,0.723897,126.337486,166.986084,174.423035
122,0,0.014388,-0.011605,0.722763,126.358078,167.045944,174.490433
123,0,0.014747,-0.011498,0.722789,126.332420,167.037888,174.480484
124,0,0.014149,-0.011563,0.722665,126.346008,167.071594,174.493042
125,0,0.015271,-0.011711,0.723045,126.355988,167.083771,174.498596
126,0,0.014681,-0.011800,0.722851,126.337502,167.051132,174.471375
127,0,0.014547,-0.011563,0.722869,126.343460,167.072220,174.488281
128,0,0.014553,-0.011525,0.722688,126.358345,167.061371,174.484207
129,0,0.014433,-0.011599,0.722730,126.335709,167.064438,174.480438
130,0,0.014430,-0.011549,0.722740,126.348526,167.062576,174.486923
131,0,0.015150,-0.011879,0.723150,126.349258,167.062454,174.490997
132,0,0.014590,-0.011513,0.722936,126.355309,167.102829,174.501450
133,0,0.014841,-0.011677,0.723055,126.312317,167.069382,174.479950
134,0,0.014184,-0.011656,0.722943,126.337708,167.061615,174.482269
135,0,0.015064,-0.011785,0.722952,126.348465,167.081848,174.503693
136,0,0.019498,-0.012285,0.723663,126.352608,166.992691,174.433929
137,0,0.014386,-0.011502,0.722763,126.342995,167.072418,174.495331
138,0,0.014008,-0.011526,0.722733,126.337883,167.057587,174.484650
139,0,0.014889,-0.011548,0.722571,126.355888,167.061157,174.482971
140,0,0.015290,-0.011807,0.723178,126.338852,167.089935,174.502365
141,0,0.014631,-0.011718,0.723022,126.348007,167.069199,174.496628
142,0,0.014750,-0.011635,0.722874,126.338646,167.064774,174.474304
143,0,0.015146,-0.011812,0.723223,126.340538,167.068024,174.485153
144,0,0.015153,-0.011785,0.723041,126.351219,167.063126,174.493927
145,0,0.019888,-0.012439,0.723832,126.348198,166.990097,174.424484
146,0,0.015016,-0.011661,0.722774,126.343788,167.048981,174.488831
147,0,0.014637,-0.011562,0.722827,126.331749,167.047379,174.473389
148,0,0.019532,-0.012138,0.723571,126.350105,166.994522,174.421906
149,0,0.014645,-0.011684,0.722666,126.355606,167.016098,174.489624
150,0,0.014472,-0.011675,0.722931,126.335487,167.021835,174.503265
151,0,0.014881,-0.011678,0.722911,126.339256,167.022644,174.499435
152,0,0.014728,-0.011596,0.723100,126.326996,167.077927,174.503540
153,0,0.015180,-0.011796,0.723112,126.326355,167.056168,174.481689
154,0,0.014444,-0.011645,0.722856,126.337585,167.066818,174.493927
