Objects
100
,,Global Angle Mannequin:Mannequin,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
40,0,0.159009,-0.043227,3.199946,1311.610474,930.683044,789.162964
41,0,0.162412,-0.045695,3.196749,1311.461792,930.533325,788.979370
42,0,0.160471,-0.044792,3.199576,1311.617676,930.675903,789.090393
43,0,0.160592,-0.044330,3.199238,1311.615845,930.686096,789.113098
44,0,0.160158,-0.044638,3.199160,1311.588989,930.688110,789.132141
45,0,0.160484,-0.044630,3.199334,1311.627197,930.691772,789.104675
46,0,0.159950,-0.043050,3.199884,1311.653931,930.711304,789.166321
47,0,0.163050,-0.045445,3.196543,1311.487305,930.579590,789.026978
48,0,0.161383,-0.043495,3.197691,1311.512085,930.587463,789.063660
49,0,0.160461,-0.043836,3.199544,1311.598389,930.669189,789.086487
50,0,0.159967,-0.044790,3.199568,1311.576416,930.659363,789.080261
51,0,0.160015,-0.043852,3.199202,1311.569336,930.682434,789.126587
52,0,0.162674,-0.045423,3.196739,1311.468750,930.548157,788.992859
53,0,0.160188,-0.044356,3.199322,1311.601563,930.680115,789.108582
54,0,0.159989,-0.044085,3.199495,1311.556519,930.663147,789.109802
55,0,0.160207,-0.043771,3.199273,1311.566650,930.690369,789.130371
56,0,0.160642,-0.044270,3.199310,1311.611328,930.682617,789.104370
57,0,0.160268,-0.043734,3.199452,1311.561646,930.664429,789.104553
58,0,0.159965,-0.044842,3.199128,1311.574829,930.681458,789.110413
59,0,0.161735,-0.043663,3.197591,1311.514648,930.602905,789.098267
60,0,0.160047,-0.045633,3.199212,1311.624268,930.673340,789.096130
61,0,0.160087,-0.045110,3.199076,1311.598389,930.691223,789.124390
62,0,0.159868,-0.044184,3.199261,1311.563232,930.662659,789.104492
63,0,0.160433,-0.044759,3.199280,1311.641235,930.693665,789.103516
64,0,0.160347,-0.045388,3.199076,1311.623413,930.687500,789.113708
65,0,0.160215,-0.045230,3.199100,1311.622559,930.684326,789.097717
66,0,0.159778,-0.045479,3.199298,1311.584595,930.670471,789.106323
67,0,0.160215,-0.045087,3.199275,1311.616699,930.695007,789.113770
68,0,0.159677,-0.042793,3.200095,1311.618286,930.693787,789.172974
69,0,0.162252,-0.045751,3.196737,1311.463989,930.544495,788.994446
70,0,0.159471,-0.043492,3.199861,1311.657227,930.700317,789.148254
71,0,0.162052,-0.043140,3.197715,1311.522339,930.603088,789.100769
72,0,0.160599,-0.044256,3.199337,1311.619873,930.678589,789.100891
73,0,0.160414,-0.043853,3.199250,1311.588501,930.678467,789.121094
74,0,0.160363,-0.044688,3.199340,1311.576050,930.688110,789.122314
75,0,0.162729,-0.045288,3.196939,1311.467163,930.541077,788.990540
76,0,0.162748,-0.045787,3.196573,1311.485596,930.560486,789.014709
77,0,0.160268,-0.042155,3.199669,1311.636230,930.732422,789.218079
78,0,0.159857,-0.045094,3.199670,1311.596191,930.652161,789.078308
79,0,0.159101,-0.043510,3.200149,1311.606689,930.686035,789.148804
80,0,0.160069,-0.045503,3.199289,1311.627319,930.680725,789.098022
81,0,0.160472,-0.044063,3.199362,1311.585449,930.672668,789.095337
82,0,0.160410,-0.044687,3.199354,1311.616943,930.693909,789.100952
83,0,0.162359,-0.045907,3.196749,1311.473999,930.559631,789.008118
84,0,0.162626,-0.045375,3.196857,1311.459839,930.546082,788.998474
85,0,0.160438,-0.044122,3.199277,1311.605347,930.680481,789.112000
86,0,0.160449,-0.044120,3.199239,1311.592651,930.679138,789.113525
87,0,0.160189,-0.044735,3.199488,1311.594482,930.671204,789.096191
88,0,0.162790,-0.045085,3.196873,1311.470581,930.541321,788.987854
89,0,0.159981,-0.041542,3.199798,1311.609131,930.727356,789.213257
90,0,0.162839,-0.045198,3.196748,1311.477417,930.553406,789.001587
91,0,0.159794,-0.042335,3.199950,1311.598877,930.697449,789.178162
92,0,0.160096,-0.044985,3.199372,1311.618896,930.664551,789.075623
93,0,0.160049,-0.044848,3.199049,1311.590088,930.691223,789.124268
94,0,0.162843,-0.045422,3.196619,1311.490356,930.576660,789.011902
95,0,0.159952,-0.042540,3.200016,1311.623047,930.706238,789.188171
96,0,0.162902,-0.045053,3.196804,1311.477417,930.565369,789.017944
97,0,0.159964,-0.044723,3.199435,1311.595337,930.667786,789.089539
98,0,0.160520,-0.044314,3.199494,1311.601929,930.666138,789.097351
99,0,0.162567,-0.045818,3.196679,1311.470459,930.554565,788.993896
100,0,0.162979,-0.045603,3.196542,1311.488525,930.559509,789.010498
101,0,0.160438,-0.043845,3.199126,1311.558716,930.678772,789.137634
102,0,0.161504,-0.043604,3.197709,1311.515747,930.593689,789.085144
103,0,0.163116,-0.044966,3.196726,1311.466675,930.544678,788.992737
104,0,0.160181,-0.044817,3.199445,1311.613159,930.672974,789.083496
105,0,0.160400,-0.044591,3.199624,1311.609253,930.665466,789.082336
106,0,0.160559,-0.044231,3.199272,1311.604248,930.681702,789.104309
107,0,0.159997,-0.045040,3.199370,1311.615601,930.671814,789.086243
108,0,0.159918,-0.044568,3.199128,1311.584106,930.682495,789.114624
109,0,0.159787,-0.045416,3.199315,1311.604126,930.662598,789.087891
110,0,0.159830,-0.045005,3.199260,1311.591064,930.673218,789.115051
111,0,0.159974,-0.041547,3.199997,1311.589844,930.703674,789.194275
112,0,0.160194,-0.045158,3.199287,1311.623169,930.685364,789.101563
113,0,0.160103,-0.045481,3.199262,1311.628540,930.685913,789.112854
114,0,0.160232,-0.043534,3.198999,1311.563965,930.703552,789.164185
115,0,0.159414,-0.043175,3.199899,1311.624634,930.697876,789.167358
116,0,0.159623,-0.042676,3.199979,1311.621826,930.693054,789.174194
117,0,0.160385,-0.045647,3.199138,1311.641113,930.694397,789.108459
118,0,0.162100,-0.046114,3.196599,1311.481201,930.556946,788.997864
119,0,0.162639,-0.045495,3.196797,1311.471069,930.551941,788.995728
120,0,0.160104,-0.044698,3.199248,1311.597534,930.677063,789.093079
121,0,0.162933,-0.045373,3.196635,1311.490112,930.570618,789.013550
122,0,0.160250,-0.045357,3.199282,1311.641235,930.684570,789.095886
123,0,0.160264,-0.044827,3.199425,1311.624634,930.659363,789.069397
124,0,0.160174,-0.045226,3.199047,1311.617188,930.694336,789.111694
